School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2015-16,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,School Level Code [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Includes AE) [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,Male Students [Public School] 2015-16,Female Students [Public School] 2015-16,State Name [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16
BETHESDA ELEMENTARY,Maryland,MD ,Bethesda Elementary,Montgomery County,BETHESDA,MD ,1-Regular school,2-No,2-No,1-Primary,556,556,82,36,346,556,303,253,MARYLAND,35.4,15.71
BETHESDA-CHEVY CHASE HIGH,Maryland,MD ,Bethesda-Chevy Chase High,Montgomery County,BETHESDA,MD ,1-Regular school,2-No,2-No,3-High,2006,2006,109,297,1129,2006,1031,975,MARYLAND,106.54,18.83
BEVERLY FARMS ELEMENTARY,Maryland,MD ,Beverly Farms Elementary,Montgomery County,POTOMAC,MD ,1-Regular school,2-No,2-No,1-Primary,602,602,177,47,280,602,302,300,MARYLAND,33.5,17.97
BLADENSBURG ELEMENTARY,Maryland,MD ,Bladensburg Elementary,Prince George's County,BLADENSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,761,761,6,215,7,761,359,402,MARYLAND,51.9,14.66
BLADENSBURG EVENING/SATURDAY HIGH,Maryland,MD ,Bladensburg Evening/Saturday High,Prince George's County,BLADENSBURG,MD ,4-Alternative/other school,2-No,†,†,†,†,†,†,†,0,†,†,MARYLAND,†,†
BLADENSBURG HIGH,Maryland,MD ,Bladensburg High,Prince George's County,BLADENSBURG,MD ,1-Regular school,2-No,1-Yes,3-High,1810,1810,27,610,25,1810,941,869,MARYLAND,118.5,15.27
BLUFORD DREW JEMISON STEM ACADEMY WEST,Maryland,MD ,Bluford Drew Jemison STEM Academy West,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,4-Other,397,397,0,388,6,397,397,0,MARYLAND,25,15.88
BODKIN ELEMENTARY,Maryland,MD ,Bodkin Elementary,Anne Arundel County,PASADENA,MD ,1-Regular school,2-No,2-No,1-Primary,580,580,7,7,530,580,285,295,MARYLAND,33.2,17.47
BOHEMIA MANOR HIGH,Maryland,MD ,Bohemia Manor High,Cecil County,CHESAPEAKE CITY,MD ,1-Regular school,2-No,2-No,3-High,656,656,4,41,562,656,332,324,MARYLAND,47.5,13.81
BOHEMIA MANOR MIDDLE,Maryland,MD ,Bohemia Manor Middle,Cecil County,CHESAPEAKE CITY,MD ,1-Regular school,2-No,2-No,2-Middle,506,506,1,27,420,506,244,262,MARYLAND,33.5,15.1
BOLLMAN BRIDGE ELEMENTARY,Maryland,MD ,Bollman Bridge Elementary,Howard County,JESSUP,MD ,1-Regular school,2-No,2-No,1-Primary,757,757,86,255,229,757,427,330,MARYLAND,61.5,12.31
BOND MILL ELEMENTARY,Maryland,MD ,Bond Mill Elementary,Prince George's County,LAUREL,MD ,1-Regular school,2-No,2-No,1-Primary,533,533,50,269,86,533,279,254,MARYLAND,31,17.19
BONNIE BRANCH MIDDLE,Maryland,MD ,Bonnie Branch Middle,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,2-Middle,684,684,108,169,285,684,367,317,MARYLAND,49,13.96
BOOKER T. WASHINGTON MIDDLE,Maryland,MD ,Booker T. Washington Middle,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,309,309,0,306,2,309,173,136,MARYLAND,27,11.44
BOONSBORO ELEMENTARY,Maryland,MD ,Boonsboro Elementary,Washington County,BOONSBORO,MD ,1-Regular school,2-No,1-Yes,1-Primary,506,506,4,13,462,506,233,273,MARYLAND,32.81,15.42
BOONSBORO HIGH,Maryland,MD ,Boonsboro High,Washington County,BOONSBORO,MD ,1-Regular school,2-No,2-No,3-High,884,884,16,20,799,884,460,424,MARYLAND,56.58,15.62
BOONSBORO MIDDLE,Maryland,MD ,Boonsboro Middle,Washington County,BOONSBORO,MD ,1-Regular school,2-No,1-Yes,2-Middle,793,793,17,17,716,793,369,424,MARYLAND,46.08,17.21
BOWIE HIGH,Maryland,MD ,Bowie High,Prince George's County,BOWIE,MD ,1-Regular school,2-No,2-No,3-High,2381,2381,101,1612,328,2381,1164,1217,MARYLAND,133,17.9
BRADBURY HEIGHTS ELEMENTARY,Maryland,MD ,Bradbury Heights Elementary,Prince George's County,CAPITAL HEIGHTS,MD ,1-Regular school,2-No,2-No,1-Primary,478,478,3,418,6,478,238,240,MARYLAND,33.66,14.2
BRADDOCK MIDDLE,Maryland,MD ,Braddock Middle,Allegany County,CUMBERLAND,MD ,1-Regular school,2-No,2-No,2-Middle,600,600,7,19,531,600,306,294,MARYLAND,41.86,14.33
BRADLEY HILLS ELEMENTARY,Maryland,MD ,Bradley Hills Elementary,Montgomery County,BETHESDA,MD ,1-Regular school,2-No,2-No,1-Primary,627,627,66,8,421,627,329,298,MARYLAND,31.8,19.72
BRANDYWINE ELEMENTARY,Maryland,MD ,Brandywine Elementary,Prince George's County,BRANDYWINE,MD ,1-Regular school,2-No,2-No,1-Primary,424,424,4,345,21,424,221,203,MARYLAND,23.1,18.35
BREHMS LANE ELEMENTARY,Maryland,MD ,Brehms Lane Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,696,696,0,666,3,696,367,329,MARYLAND,36.5,19.07
BRIGGS CHANEY MIDDLE,Maryland,MD ,Briggs Chaney Middle,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,2-Middle,866,866,124,460,72,866,426,440,MARYLAND,58,14.93
BROAD ACRES ELEMENTARY,Maryland,MD ,Broad Acres Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,825,825,31,110,2,825,419,406,MARYLAND,66.51,12.4
BROAD FORD ELEMENTARY,Maryland,MD ,Broad Ford Elementary,Garrett County,OAKLAND,MD ,1-Regular school,2-No,2-No,1-Primary,575,575,0,3,559,575,313,262,MARYLAND,39,14.74
BROADNECK ELEMENTARY,Maryland,MD ,Broadneck Elementary,Anne Arundel County,ARNOLD,MD ,1-Regular school,2-No,2-No,1-Primary,809,809,22,48,649,809,408,401,MARYLAND,42.9,18.86
BROADNECK HIGH,Maryland,MD ,Broadneck High,Anne Arundel County,ANNAPOLIS,MD ,1-Regular school,2-No,2-No,3-High,2061,2061,71,154,1599,2061,1060,1001,MARYLAND,110.51,18.65
BROCK BRIDGE ELEMENTARY,Maryland,MD ,Brock Bridge Elementary,Anne Arundel County,LAUREL,MD ,1-Regular school,2-No,2-No,1-Primary,457,457,34,171,64,457,235,222,MARYLAND,32,14.28
BROOKE GROVE ELEMENTARY,Maryland,MD ,Brooke Grove Elementary,Montgomery County,OLNEY,MD ,1-Regular school,2-No,2-No,1-Primary,387,387,61,77,180,387,190,197,MARYLAND,27.4,14.12
BROOKHAVEN ELEMENTARY,Maryland,MD ,Brookhaven Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,445,445,30,150,40,445,253,192,MARYLAND,38.8,11.47
BROOKLYN PARK ELEMENTARY,Maryland,MD ,Brooklyn Park Elementary,Anne Arundel County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,405,405,11,112,213,405,188,217,MARYLAND,27.2,14.89
BROOKLYN PARK MIDDLE,Maryland,MD ,Brooklyn Park Middle,Anne Arundel County,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,733,733,15,212,358,733,272,461,MARYLAND,63,11.63
BROWN STATION ELEMENTARY,Maryland,MD ,Brown Station Elementary,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,499,499,57,165,32,499,262,237,MARYLAND,39.5,12.63
BRUNSWICK ELEMENTARY,Maryland,MD ,Brunswick Elementary,Frederick County,BRUNSWICK,MD ,1-Regular school,2-No,2-No,1-Primary,662,662,13,37,501,662,330,332,MARYLAND,41.4,15.99
BRUNSWICK HIGH,Maryland,MD ,Brunswick High,Frederick County,BRUNSWICK,MD ,1-Regular school,2-No,2-No,3-High,753,753,20,37,601,753,399,354,MARYLAND,41.5,18.14
BRUNSWICK MIDDLE,Maryland,MD ,Brunswick Middle,Frederick County,BRUNSWICK,MD ,1-Regular school,2-No,2-No,2-Middle,567,567,9,30,444,567,284,283,MARYLAND,34,16.68
BRYANT WOODS ELEMENTARY,Maryland,MD ,Bryant Woods Elementary,Howard County,COLUMBIA,MD ,1-Regular school,2-No,2-No,1-Primary,394,394,11,230,69,394,203,191,MARYLAND,43,9.16
BUCK LODGE MIDDLE,Maryland,MD ,Buck Lodge Middle,Prince George's County,ADELPHI,MD ,1-Regular school,2-No,2-No,2-Middle,1185,1185,32,244,13,1185,622,563,MARYLAND,82,14.45
BUCKINGHAM ELEMENTARY,Maryland,MD ,Buckingham Elementary,Worcester County,BERLIN,MD ,1-Regular school,2-No,2-No,1-Primary,497,497,11,134,239,497,247,250,MARYLAND,42.5,11.69
BURLEIGH MANOR MIDDLE SCHOOL,Maryland,MD ,Burleigh Manor Middle School,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,2-Middle,771,771,340,60,285,771,402,369,MARYLAND,49,15.73
BURNING TREE ELEMENTARY,Maryland,MD ,Burning Tree Elementary,Montgomery County,BETHESDA,MD ,1-Regular school,2-No,2-No,1-Primary,497,497,89,22,300,497,282,215,MARYLAND,32.5,15.29
BURNT MILLS ELEMENTARY,Maryland,MD ,Burnt Mills Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,531,531,19,336,38,531,275,256,MARYLAND,38.4,13.83
BURTONSVILLE ELEMENTARY,Maryland,MD ,Burtonsville Elementary,Montgomery County,BURTONSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,613,613,87,379,34,613,340,273,MARYLAND,39.2,15.64
BUSHY PARK ELEMENTARY,Maryland,MD ,Bushy Park Elementary,Howard County,GLENWOOD,MD ,1-Regular school,2-No,2-No,1-Primary,623,623,81,35,455,623,315,308,MARYLAND,39.5,15.77
C. ELIZABETH RIEG REGIONAL CENTER,Maryland,MD ,C. Elizabeth Rieg Regional Center,Prince George's County,MITCHELLVILLE,MD ,2-Special education school,2-No,2-No,4-Other,103,103,4,78,13,103,73,30,MARYLAND,25,4.12
C. MILTON WRIGHT HIGH,Maryland,MD ,C. Milton Wright High,Harford County,BEL AIR,MD ,1-Regular school,2-No,2-No,3-High,1447,1447,55,92,1187,1447,734,713,MARYLAND,94.65,15.29
C. PAUL BARNHART ELEMENTARY SCHOOL,Maryland,MD ,C. Paul Barnhart Elementary School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,1-Primary,663,663,20,446,43,663,340,323,MARYLAND,39.29,16.87
CABIN JOHN MIDDLE SCHOOL,Maryland,MD ,Cabin John Middle School,Montgomery County,POTOMAC,MD ,1-Regular school,2-No,2-No,2-Middle,941,941,264,108,449,941,494,447,MARYLAND,63.6,14.8
CALLAWAY ELEMENTARY,Maryland,MD ,Callaway Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,334,334,0,310,1,334,158,176,MARYLAND,20,16.7
CALVERT COUNTRY SCHOOL,Maryland,MD ,Calvert Country School,Calvert County,PRINCE FREDERICK,MD ,2-Special education school,2-No,2-No,4-Other,57,57,2,10,39,57,38,19,MARYLAND,14.76,3.86
CALVERT COUNTY ALTERNATIVE SCHOOL,Maryland,MD ,Calvert County Alternative School,Calvert County,PRINCE FREDERICK,MD ,4-Alternative/other school,2-No,2-No,4-Other,4,4,0,1,3,4,3,1,MARYLAND,4,1
CALVERT ELEMENTARY,Maryland,MD ,Calvert Elementary,Cecil County,RISING SUN,MD ,1-Regular school,2-No,2-No,1-Primary,479,479,2,5,447,479,252,227,MARYLAND,30.38,15.77
CALVERT ELEMENTARY,Maryland,MD ,Calvert Elementary,Calvert County,PRINCE FREDERICK,MD ,1-Regular school,2-No,2-No,1-Primary,505,505,6,103,316,505,268,237,MARYLAND,31.9,15.83
CALVERT HIGH,Maryland,MD ,Calvert High,Calvert County,PRINCE FREDERICK,MD ,1-Regular school,2-No,2-No,3-High,1173,1173,19,255,758,1173,594,579,MARYLAND,66.84,17.55
CALVERT MIDDLE,Maryland,MD ,Calvert Middle,Calvert County,PRINCE FREDERICK,MD ,1-Regular school,2-No,2-No,2-Middle,588,588,10,116,379,588,288,300,MARYLAND,35.5,16.56
CALVERTON,Maryland,MD ,Calverton,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,660,660,0,637,13,660,360,300,MARYLAND,39,16.92
CALVERTON ELEMENTARY,Maryland,MD ,Calverton Elementary,Prince George's County,BELTSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,874,874,39,362,21,874,448,426,MARYLAND,55,15.89
CALVIN M. RODWELL ELEMENTARY,Maryland,MD ,Calvin M. Rodwell Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,354,354,0,340,4,354,180,174,MARYLAND,20.5,17.27
CAMBRIDGE-SOUTH DORCHESTER HIGH SCHOOL,Maryland,MD ,Cambridge-South Dorchester High School,Dorchester County,CAMBRIDGE,MD ,1-Regular school,2-No,2-No,3-High,762,762,7,324,356,762,415,347,MARYLAND,55,13.85
CAMPFIELD EARLY CHILDHOOD CENTER,Maryland,MD ,Campfield Early Childhood Center,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,393,393,27,272,30,393,220,173,MARYLAND,23.2,16.94
CANDLEWOOD ELEMENTARY,Maryland,MD ,Candlewood Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,356,356,68,49,143,356,178,178,MARYLAND,21.66,16.44
CANNON ROAD ELEMENTARY,Maryland,MD ,Cannon Road Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,445,445,38,178,19,445,238,207,MARYLAND,32.2,13.82
CAPE ST. CLAIRE ELEMENTARY,Maryland,MD ,Cape St. Claire Elementary,Anne Arundel County,ANNAPOLIS,MD ,1-Regular school,2-No,2-No,1-Primary,610,610,11,19,481,610,323,287,MARYLAND,37.7,16.18
CAPITOL HEIGHTS ELEMENTARY,Maryland,MD ,Capitol Heights Elementary,Prince George's County,CAPITOL HEIGHTS,MD ,1-Regular school,2-No,1-Yes,1-Primary,235,235,1,203,2,235,105,130,MARYLAND,21.3,11.03
CAPTAIN JAMES E. DALY ELEMENTARY,Maryland,MD ,Captain James E. Daly Elementary,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,598,598,45,210,51,598,286,312,MARYLAND,46.5,12.86
CAPTAIN WALTER FRANCIS DUKE ELEMENTARY,MARYLAND,MD ,Captain Walter Francis Duke Elementary,St. Mary's County,LEONARDTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,571,571,18,38,453,571,312,259,MARYLAND,33.7,16.94
CARDEROCK SPRINGS ELEMENTARY,Maryland,MD ,Carderock Springs Elementary,Montgomery County,BETHESDA,MD ,1-Regular school,2-No,2-No,1-Primary,406,406,69,14,268,406,207,199,MARYLAND,25.6,15.86
CAREER AND TECHNOLOGY ACADEMY,Maryland,MD ,Career and Technology Academy,Calvert County,PRINCE FREDERICK,MD ,3-Vocational school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,22,†
CARL SANDBURG CENTER,Maryland,MD ,Carl Sandburg Center,Montgomery County,ROCKVILLE,MD ,2-Special education school,2-No,2-No,1-Primary,89,89,7,26,23,89,82,7,MARYLAND,19.6,4.54
CARMODY HILLS ELEMENTARY,Maryland,MD ,Carmody Hills Elementary,Prince George's County,CAPITOL HEIGHTS,MD ,1-Regular school,2-No,2-No,1-Primary,492,492,1,434,2,492,265,227,MARYLAND,28.76,17.11
CARNEY ELEMENTARY,Maryland,MD ,Carney Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,588,588,73,161,299,588,295,293,MARYLAND,35.6,16.52
CAROLE HIGHLANDS ELEMENTARY,Maryland,MD ,Carole Highlands Elementary,Prince George's County,TAKOMA PARK,MD ,1-Regular school,2-No,2-No,1-Primary,452,452,5,88,8,452,216,236,MARYLAND,34.26,13.19
CAROLINE CAREER & TECHNOLOGY CENTER,Maryland,MD ,Caroline Career & Technology Center,Caroline County,RIDGELY,MD ,3-Vocational school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,15,†
CARROLL COUNTY CAREER & TECHNOLOGY CENTER,Maryland,MD ,Carroll County Career & Technology Center,Carroll County,WESTMINSTER,MD ,3-Vocational school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,40.6,†
CARROLL CREEK MONTESSORI PUBLIC CHARTER SCHOOL,Maryland,MD ,Carroll Creek Montessori Public Charter School,Frederick County,FREDERICK,MD ,1-Regular school,1-Yes,2-No,1-Primary,233,233,14,22,150,233,106,127,MARYLAND,11.8,19.75
CARROLL MANOR ELEMENTARY,Maryland,MD ,Carroll Manor Elementary,Frederick County,ADAMSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,548,548,19,26,423,548,285,263,MARYLAND,37.5,14.61
CARROLL MANOR ELEMENTARY,Maryland,MD ,Carroll Manor Elementary,Baltimore County,BALDWIN,MD ,1-Regular school,2-No,2-No,1-Primary,332,332,4,3,298,332,183,149,MARYLAND,21.1,15.73
CARROLL SPRINGS SCHOOL,Maryland,MD ,Carroll Springs School,Carroll County,WESTMINSTER,MD ,2-Special education school,2-No,2-No,4-Other,45,45,2,2,37,45,25,20,MARYLAND,17.2,2.62
CARROLLTON ELEMENTARY,Maryland,MD ,Carrollton Elementary,Prince George's County,NEW CARROLLTON,MD ,1-Regular school,2-No,2-No,1-Primary,632,632,8,277,9,632,326,306,MARYLAND,38.6,16.37
CARROLLTOWNE ELEMENTARY,Maryland,MD ,Carrolltowne Elementary,Carroll County,SYKESVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,512,512,20,18,437,512,279,233,MARYLAND,39.4,12.99
CARTER G WOODSON ELEMENTARY,Maryland,MD ,Carter G Woodson Elementary,Somerset County,CRISFIELD,MD ,1-Regular school,2-No,2-No,1-Primary,539,539,3,157,267,539,283,256,MARYLAND,38.77,13.9
CARVER VOCATIONAL-TECHNICAL HIGH,Maryland,MD ,Carver Vocational-Technical High,Baltimore city,BALTIMORE,MD ,3-Vocational school,2-No,2-No,3-High,889,889,2,872,11,889,396,493,MARYLAND,66,13.47
CASCADE ELEMENTARY,Maryland,MD ,Cascade Elementary,Washington County,CASCADE,MD ,1-Regular school,2-No,2-No,1-Primary,191,191,2,0,172,191,112,79,MARYLAND,12.16,15.71
CASH VALLEY ELEMENTARY,Maryland,MD ,Cash Valley Elementary,Allegany County,LAVALE,MD ,1-Regular school,2-No,2-No,1-Primary,304,304,5,9,255,304,179,125,MARYLAND,23.3,13.05
CASHELL ELEMENTARY,Maryland,MD ,Cashell Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,371,371,35,46,171,371,194,177,MARYLAND,24.3,15.27
CATHERINE T. REED ELEMENTARY,Maryland,MD ,Catherine T. Reed Elementary,Prince George's County,LANHAM,MD ,1-Regular school,2-No,2-No,1-Primary,512,512,17,374,9,512,259,253,MARYLAND,35.86,14.28
CATOCTIN HIGH,Maryland,MD ,Catoctin High,Frederick County,THURMONT,MD ,1-Regular school,2-No,2-No,3-High,873,873,7,11,814,873,443,430,MARYLAND,49,17.82
CATONSVILLE CENTER FOR ALTERNATIVE STUDIES,Maryland,MD ,Catonsville Center for Alternative Studies,Baltimore County,BALTIMORE,MD ,4-Alternative/other school,2-No,2-No,3-High,64,64,0,45,12,64,54,10,MARYLAND,12.5,5.12
CATONSVILLE ELEMENTARY,Maryland,MD ,Catonsville Elementary,Baltimore County,CATONSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,468,468,58,79,273,468,243,225,MARYLAND,26.5,17.66
CATONSVILLE HIGH,Maryland,MD ,Catonsville High,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,1737,1737,154,516,919,1737,913,824,MARYLAND,102.5,16.95
CATONSVILLE MIDDLE,Maryland,MD ,Catonsville Middle,Baltimore County,CATONSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,856,856,71,171,513,856,470,386,MARYLAND,52.3,16.37
CECIL COUNTY SCHOOL OF TECHNOLOGY,Maryland,MD ,Cecil County School of Technology,Cecil County,NORTH EAST,MD ,3-Vocational school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,23,†
CECIL ELEMENTARY,Maryland,MD ,Cecil Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,340,340,2,332,5,340,178,162,MARYLAND,22,15.45
CECIL MANOR ELEMENTARY,Maryland,MD ,Cecil Manor Elementary,Cecil County,ELKTON,MD ,1-Regular school,2-No,2-No,1-Primary,470,470,8,107,247,470,259,211,MARYLAND,38.8,12.11
CECILTON ELEMENTARY,Maryland,MD ,Cecilton Elementary,Cecil County,CECILTON,MD ,1-Regular school,2-No,2-No,1-Primary,345,345,0,10,279,345,190,155,MARYLAND,21.2,16.27
CEDAR CHAPEL SPECIAL SCHOOL,Maryland,MD ,Cedar Chapel Special School,Worcester County,SNOW HILL,MD ,2-Special education school,2-No,2-No,4-Other,55,55,2,21,28,55,42,13,MARYLAND,13,4.23
CEDAR GROVE ELEMENTARY,Maryland,MD ,Cedar Grove Elementary,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,585,585,230,58,197,585,293,292,MARYLAND,33.3,17.57
CEDAR LANE SPECIAL CENTER,Maryland,MD ,Cedar Lane Special Center,Howard County,FULTON,MD ,2-Special education school,2-No,2-No,4-Other,103,103,17,33,41,103,76,27,MARYLAND,29,3.55
CEDARMERE ELEMENTARY,Maryland,MD ,Cedarmere Elementary,Baltimore County,REISTERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,526,526,39,210,120,526,274,252,MARYLAND,30.76,17.1
CENTENNIAL HIGH,Maryland,MD ,Centennial High,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,3-High,1465,1465,531,121,670,1465,735,730,MARYLAND,91,16.1
CENTENNIAL LANE ELEMENTARY,Maryland,MD ,Centennial Lane Elementary,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,1-Primary,728,728,334,31,281,728,380,348,MARYLAND,49.6,14.68
CENTER FOR CAREER & TECHNICAL EDUCATION,Maryland,MD ,Center for Career & Technical Education,Allegany County,CRESAPTOWN,MD ,3-Vocational school,2-No,2-No,3-High,287,287,0,5,277,287,172,115,MARYLAND,26,11.04
CENTER FOR EDUCATIONAL OPPORTUNITY,Maryland,MD ,Center for Educational Opportunity,Harford County,ABERDEEN,MD ,4-Alternative/other school,2-No,2-No,3-High,53,53,0,25,16,53,40,13,MARYLAND,18.34,2.89
CENTER OF APPLIED TECHNOLOGY-NORTH,Maryland,MD ,Center of Applied Technology-North,Anne Arundel County,SEVERN,MD ,3-Vocational school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,29,†
CENTER OF APPLIED TECHNOLOGY-SOUTH,Maryland,MD ,Center of Applied Technology-South,Anne Arundel County,EDGEWATER,MD ,3-Vocational school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,19,†
CENTERVILLE ELEMENTARY,Maryland,MD ,Centerville Elementary,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,1-Primary,999,999,205,68,518,999,511,488,MARYLAND,55.91,17.87
CENTRAL ELEMENTARY,Maryland,MD ,Central Elementary,Anne Arundel County,EDGEWATER,MD ,1-Regular school,2-No,2-No,1-Primary,615,615,11,15,524,615,316,299,MARYLAND,45.1,13.64
CENTRAL HIGH,Maryland,MD ,Central High,Prince George's County,CAPITOL HEIGHTS,MD ,1-Regular school,2-No,1-Yes,3-High,947,947,8,719,4,947,475,472,MARYLAND,74,12.8
CENTRAL MIDDLE,Maryland,MD ,Central Middle,Anne Arundel County,EDGEWATER,MD ,1-Regular school,2-No,2-No,2-Middle,1122,1122,25,35,916,1122,567,555,MARYLAND,72.1,15.56
CENTRAL SPECIAL SCHOOL,Maryland,MD ,Central Special School,Anne Arundel County,EDGEWATER,MD ,2-Special education school,2-No,2-No,4-Other,135,135,4,22,87,135,87,48,MARYLAND,21.5,6.28
CENTREVILLE ELEMENTARY SCHOOL,Maryland,MD ,Centreville Elementary School,Queen Anne's County,CENTREVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,545,545,2,31,437,545,269,276,MARYLAND,32,17.03
CENTREVILLE MIDDLE SCHOOL,Maryland,MD ,Centreville Middle School,Queen Anne's County,CENTREVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,536,536,7,34,458,536,288,248,MARYLAND,37,14.49
CENTURY HIGH,Maryland,MD ,Century High,Carroll County,SYKESVILLE,MD ,1-Regular school,2-No,2-No,3-High,1094,1094,30,23,963,1094,559,535,MARYLAND,62.67,17.46
CESAR CHAVEZ ELEMENTARY,Maryland,MD ,Cesar Chavez Elementary,Prince George's County,HYATTSVILLE,MD ,1-Regular school,2-No,1-Yes,1-Primary,289,289,2,97,10,289,131,158,MARYLAND,25.36,11.4
CHADWICK ELEMENTARY,Maryland,MD ,Chadwick Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,565,565,205,262,21,565,293,272,MARYLAND,35.2,16.05
CHAPEL DISTRICT ELEMENTARY,Maryland,MD ,Chapel District Elementary,Talbot County,CORDOVA,MD ,1-Regular school,2-No,2-No,1-Primary,372,372,8,16,299,372,190,182,MARYLAND,25.66,14.5
CHAPEL FORGE EARLY CHILDHOOD CENTER,Maryland,MD ,Chapel Forge Early Childhood Center,Prince George's County,BOWIE,MD ,2-Special education school,2-No,2-No,1-Primary,204,204,6,146,22,204,142,62,MARYLAND,32.5,6.28
CHAPEL HILL ELEMENTARY,Maryland,MD ,Chapel Hill Elementary,Baltimore County,PERRY HALL,MD ,1-Regular school,2-No,2-No,1-Primary,796,796,136,75,513,796,407,389,MARYLAND,44.4,17.93
CHARLES CARROLL BARRISTER ELEMENTARY,Maryland,MD ,Charles Carroll Barrister Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,353,353,14,164,76,353,168,185,MARYLAND,20.5,17.22
CHARLES CARROLL ELEMENTARY,Maryland,MD ,Charles Carroll Elementary,Carroll County,WESTMINSTER,MD ,1-Regular school,2-No,2-No,1-Primary,229,229,2,10,199,229,120,109,MARYLAND,20.8,11.01
CHARLES CARROLL MIDDLE,Maryland,MD ,Charles Carroll Middle,Prince George's County,NEW CARROLLTON,MD ,1-Regular school,2-No,2-No,2-Middle,1040,1040,19,383,19,1040,550,490,MARYLAND,66,15.76
CHARLES H. CHIPMAN ELEMENTARY,Maryland,MD ,Charles H. Chipman Elementary,Wicomico County,SALISBURY,MD ,1-Regular school,2-No,2-No,1-Primary,322,322,2,188,58,322,181,141,MARYLAND,23.5,13.7
CHARLES HERBERT FLOWERS HIGH,Maryland,MD ,Charles Herbert Flowers High,Prince George's County,SPRINGDALE,MD ,1-Regular school,2-No,1-Yes,3-High,2093,2093,32,1909,7,2093,1020,1073,MARYLAND,107,19.56
