School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2015-16,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,School Level Code [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Includes AE) [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,Male Students [Public School] 2015-16,Female Students [Public School] 2015-16,State Name [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16
BENJAMIN FRANKLIN HIGH SCHOOL AT MASONVILLE COVE,Maryland,MD ,Benjamin Franklin High School at Masonville Cove,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,3-High,469,469,5,235,105,469,267,202,MARYLAND,39,12.03
BENJAMIN STODDERT MIDDLE,Maryland,MD ,Benjamin Stoddert Middle,Prince George's County,TEMPLE HILLS,MD ,1-Regular school,2-No,2-No,2-Middle,599,599,3,527,1,599,309,290,MARYLAND,44,13.61
BENJAMIN STODDERT MIDDLE SCHOOL,Maryland,MD ,Benjamin Stoddert Middle School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,2-Middle,695,695,20,486,81,695,356,339,MARYLAND,47,14.79
BENJAMIN TASKER MIDDLE SCHOOL,Maryland,MD ,Benjamin Tasker Middle School,Prince George's County,BOWIE,MD ,1-Regular school,2-No,2-No,2-Middle,821,821,38,552,95,821,447,374,MARYLAND,54.1,15.18
BENNETT MIDDLE,Maryland,MD ,Bennett Middle,Wicomico County,FRUITLAND,MD ,1-Regular school,2-No,2-No,2-Middle,990,990,36,353,441,990,499,491,MARYLAND,77,12.86
BERKSHIRE ELEMENTARY,Maryland,MD ,Berkshire Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,505,505,7,70,297,505,245,260,MARYLAND,29.7,17
BERLIN INTERMEDIATE,Maryland,MD ,Berlin Intermediate,Worcester County,BERLIN,MD ,1-Regular school,2-No,2-No,2-Middle,749,749,13,74,562,749,387,362,MARYLAND,59,12.69
BERRY ELEMENTARY SCHOOL,Maryland,MD ,Berry Elementary School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,1-Primary,918,918,60,631,73,918,495,423,MARYLAND,48.89,18.78
BERWYN HEIGHTS ELEMENTARY,Maryland,MD ,Berwyn Heights Elementary,Prince George's County,BERWYN HEIGHTS,MD ,1-Regular school,2-No,2-No,1-Primary,477,477,36,100,65,477,240,237,MARYLAND,31.52,15.13
BESTER ELEMENTARY,Maryland,MD ,Bester Elementary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,590,590,0,175,261,590,286,304,MARYLAND,38.14,15.47
