School Name [Public School] 2015-16,GreatSchools Rating,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16
Church Lane Elementary Technology,5,Baltimore County,RANDALLSTOWN,MD 
Churchville Elementary,9,Harford County,CHURCHVILLE,MD 
City Neighbors Charter School,3,Baltimore city,BALTIMORE,MD 
City Neighbors Hamilton,3,Baltimore city,BALTIMORE,MD 
City Neighbors High School,2,Baltimore city,BALTIMORE,MD 
City Springs Elementary,1,Baltimore city,BALTIMORE,MD 
Claremont School,NaN,Baltimore city,BALTIMORE,MD 
Clarksburg Elementary,7,Montgomery County,CLARKSBURG,MD 
Clarksburg High,7,Montgomery County,CLARKSBURG,MD 
Clarksville Elementary,9,Howard County,CLARKSVILLE,MD 
Clarksville Middle,9,Howard County,CLARKSVILLE,MD 
Clear Spring Elementary,5,Washington County,CLEAR SPRING,MD 
Clear Spring High,7,Washington County,CLEAR SPRING,MD 
Clear Spring Middle,7,Washington County,CLEAR SPRING,MD 
Clearspring Elementary,7,Montgomery County,DAMASCUS,MD 
Clemens Crossing Elementary,9,Howard County,COLUMBIA,MD 
Clinton Grove Elementary,2,Prince George's County,CLINTON,MD 
Clopper Mill Elementary,3,Montgomery County,GERMANTOWN,MD 
Cloverly Elementary,6,Montgomery County,SILVER SPRING,MD 
Cockeysville Middle,7,Baltimore County,COCKEYSVILLE,MD 
Col. E. Brooke Lee Middle,5,Montgomery County,SILVER SPRING,MD 
Col. Zadok Magruder High,6,Montgomery County,ROCKVILLE,MD 
Cold Spring Elementary,9,Montgomery County,POTOMAC,MD 
Coldstream Park Elementary,1,Baltimore city,BALTIMORE,MD 
Colgate Elementary,2,Baltimore County,BALTIMORE,MD 
College Gardens Elementary,8,Montgomery County,ROCKVILLE,MD 
College Park Academy,NaN,Prince George's County,HYATTSVILLE,MD 
Collington Square Elementary,1,Baltimore city,BALTIMORE,MD 
Colonel Richardson High School,4,Caroline County,FEDERALSBURG,MD 
Colonel Richardson Middle School,6,Caroline County,FEDERALSBURG,MD 
Columbia Park Elementary,2,Prince George's County,LANDOVER,MD 
Commodore John Rogers Elementary,3,Baltimore city,BALTIMORE,MD 
Community Based Classrooms,3,Prince George's County,BLADENSBURG,MD 
Concord Elementary,3,Prince George's County,DISTRICT HEIGHTS,MD 
ConneXions: A  Community Based Arts School,1,Baltimore city,BALTIMORE,MD 
Conococheague Elementary,NaN,Washington County,HAGERSTOWN,MD 
Conowingo Elementary,5,Cecil County,CONOWINGO,MD 
Cool Spring Elementary,3,Prince George's County,ADELPHI,MD 
Cooper Lane Elementary,3,Prince George's County,LANDOVER HILLS,MD 
Coppin Academy,4,Baltimore city,BALTIMORE,MD 
Cora L. Rice Elementary,1,Prince George's County,LANDOVER,MD 
Corkran Middle School,5,Anne Arundel County,GLEN BURNIE,MD 
Cradlerock Elementary,NaN,Howard County,COLUMBIA,MD 
Cranberry Station Elementary,5,Carroll County,WESTMINSTER,MD 
Creative City Public Charter School,NaN,Baltimore city,BALTIMORE,MD 
Crellin Elementary,5,Garrett County,OAKLAND,MD 
Cresaptown Elementary,6,Allegany County,CRESAPTOWN,MD 
Cresthaven Elementary,4,Montgomery County,SILVER SPRING,MD 
Crestwood Middle,6,Frederick County,FREDERICK,MD 
Crisfield Academy and High School,5,Somerset County,CRISFIELD,MD 
Crofton Elementary,8,Anne Arundel County,CROFTON,MD 
Crofton Meadows Elementary,8,Anne Arundel County,CROFTON,MD 
Crofton Middle,8,Anne Arundel County,GAMBRILLS,MD 
Crofton Woods Elementary,10,Anne Arundel County,CROFTON,MD 
Cromwell Valley Elementary Technology,8,Baltimore County,BALTIMORE,MD 
Croom High,1,Prince George's County,CHELTENHAM,MD 
Cross Country Elementary,4,Baltimore city,BALTIMORE,MD 
Crossland Evening/Saturday High,1,Prince George's County,TEMPLE HILLS,MD 
Crossland High,2,Prince George's County,TEMPLE HILLS,MD 
Crossroads Center,NaN,Baltimore County,BALTIMORE,MD 
Crossroads Middle School,NaN,Carroll County,WESTMINSTER,MD 
Curtis Bay Elementary,2,Baltimore city,BALTIMORE,MD 
Dallas F. Nicholas Sr. Elementary,1,Baltimore city,BALTIMORE,MD 
Damascus Elementary,6,Montgomery County,DAMASCUS,MD 
Damascus High,8,Montgomery County,DAMASCUS,MD 
Daniel of St. Thomas Jenifer Elementary School,5,Charles County,WALDORF,MD 
Darlington Elementary,8,Harford County,DARLINGTON,MD 
Darnestown Elementary,8,Montgomery County,GAITHERSBURG,MD 
Davidsonville Elementary,NaN,Anne Arundel County,DAVIDSONVILLE,MD 
Dayton Oaks,10,Howard County,DAYTON,MD 
Deal Island School,5,Somerset County,DEAL ISLAND,MD 
Deale Elementary,NaN,Anne Arundel County,DEALE,MD 
Deep Creek Elementary,1,Baltimore County,BALTIMORE,MD 
Deep Creek Middle,3,Baltimore County,BALTIMORE,MD 
Deep Run Elementary,4,Howard County,ELKRIDGE,MD 
Deer Crossing Elementary,NaN,Frederick County,NEW MARKET,MD 
Deer Park Elementary,4,Baltimore County,OWINGS MILLS,MD 
